# faroe saithe catch data                            year = 1961:2015 ,, ages = 3:14+
# faroe saithe survey data var W  stratified         year = 1994:2015 ,, ages = 3:10
# faroe saithe survey data summar stratified         year = 1996:2015 ,, ages = 3:10
# number of years and ages in catch data	c@a 
55 12
# number of years and ages in survey 1 data	u@a
22 8
# number of years and ages in survey 2 data	u@a
20 8
#  ------------------ catch-at-age ,, c@a --------------------------------------
#  3     4     5     6     7    8    9    10  11  12  13  14+
135.3	74.15	141.105	9.39	12.47	3.915	3.995	0.96
23.2	65.74	23.455	25.105	1.67	2.095	1.04	0.72
78.745	105.235	73.12	11.385	9.93	0.81	0.525	0.465
6.86	72.355	162.18	59.82	8.095	3.555	0.255	0.245
23.465	29.04	30.185	34.005	8.935	1.31	0.84	0.16
44.93	101.47	44.21	18.835	15.285	3.955	0.36	0.285
8.235	10.405	27.795	10.23	5.035	3.61	1.26	0.345
34.32	12.075	4.825	11.865	3.45	1.89	1.165	0.36
11.75	11.695	34.695	4.69	8.45	3.345	2.155	1.795
13.95	6.2	7.305	1.065	0.67	1.225	0.63	0.49
29.475	8.565	2.595	1.94	0.535	0.44	0.815	0.47
32.285	30.09	15.06	1.965	0.965	0.43	0.29	0.43
5.43	18.885	19.655	9.265	1.01	0.43	0.15	0.155
12.405	7.42	6.255	2.75	1.175	0.195	0.13	0.1
29.41	10.885	10.61	4.235	1.665	0.44	0.19	0.115
# efforts in thousands  --------------------------------------------------------
#  35.105 43.571 44.259 42.367 41.972 40.211 37.343 34.003 26.749 25.970 26.617 71.291
# M       ----------------------------------------------------------------------
  0.2
# ------------------------    catch-weights-at-age ,, w@a    -------------------
#   3        4        5        6        7        8        9       10        11      12        13        14+
1.430 2.302 3.348 4.287 5.128 6.155 7.060 7.265  7.497  8.198  9.154  9.992
1.273 2.045 3.293 4.191 5.146 5.655 6.469 6.706  7.150  7.903  8.449  9.658
1.280 2.197 3.212 4.568 5.056 5.932 6.259 8.000  7.265  8.551  9.020  9.818
1.175 2.055 3.266 4.255 5.038 5.694 6.662 6.837  7.686  8.348  8.123  9.423
1.181 2.125 2.941 4.096 4.878 5.932 6.321 7.288  8.074  7.878  9.479  9.849
1.361 2.026 3.055 3.658 4.585 5.520 6.837 7.265  7.662  8.123 10.210  9.883
1.273 1.780 2.534 3.572 4.368 5.313 5.812 6.554  7.806  7.591  8.551  9.135
1.302 1.737 2.036 3.120 4.049 5.183 6.238 7.520  8.049  8.654  8.298  9.748
1.188 1.667 2.302 2.853 3.673 5.002 5.714 6.405  6.554  7.591  7.951  9.096
1.244 1.445 2.249 2.853 3.515 4.418 5.444 5.733  6.662  7.310  9.047  9.634
1.101 1.316 1.818 2.978 3.702 4.271 5.388 5.972  6.490  7.173  7.380  9.612
1.043 1.485 2.055 2.829 3.791 4.175 4.808 5.294  6.948  6.727  7.591  9.609
1.306 1.754 1.899 2.700 4.426 5.264 6.156 6.334  8.076  8.777  9.782 11.115
